"CodeWilaya";"Wilaya";"Moughataa";"Commune";"Center";"CodeCentre";"CodeBureau";"NbInscrits";"nbVotant";"nbVoteNull";"nbVoteNeutre";"nbSuffrage";"nbVoix";"Candidat"
"05";"Brakna";"Boghé";"Boghé";"Daghvegue";"02";"01";413;325;9;0;316;222;"Biram Dah Dah ABEID (Biram)"
"05";"Brakna";"Boghé";"Boghé";"Daghvegue";"02";"01";413;325;9;0;316;2;"Mohamed Sidi MAOULOUD (Maouloud)"
"05";"Brakna";"Boghé";"Boghé";"Daghvegue";"02";"01";413;325;9;0;316;1;"Mohamed Lemine El Mourteji El WAVI (Wavi)"
"05";"Brakna";"Boghé";"Boghé";"Daghvegue";"02";"01";413;325;9;0;316;3;"KANE Hamidou Baba (Kane)"
"06";"Trarza";"Rosso";"Rosso";"Ecole N'deija";"19";"01";202;146;0;0;146;27;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
"06";"Trarza";"Rosso";"Rosso";"Ecole N'deija";"19";"01";202;146;0;0;146;107;"Sidi Mohamed Boubacar BOUSSALEF (Boubacar)"
"06";"Trarza";"Rosso";"Rosso";"Ecole N'deija";"19";"01";202;146;0;0;146;4;"Biram Dah Dah ABEID (Biram)"
"06";"Trarza";"Rosso";"Rosso";"Ecole N'deija";"19";"01";202;146;0;0;146;5;"Mohamed Sidi MAOULOUD (Maouloud)"
"06";"Trarza";"Rosso";"Rosso";"Ecole N'deija";"19";"01";202;146;0;0;146;1;"Mohamed Lemine El Mourteji El WAVI (Wavi)"
"06";"Trarza";"Rosso";"Rosso";"Ecole N'deija";"19";"01";202;146;0;0;146;2;"KANE Hamidou Baba (Kane)"
"06";"Trarza";"Ouad Naga";"Ouad Naga";"Ecole Fondamentale";"06";"03";508;133;1;6;126;38;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
"06";"Trarza";"Ouad Naga";"Ouad Naga";"Ecole Fondamentale";"06";"03";508;133;1;6;126;55;"Sidi Mohamed Boubacar BOUSSALEF (Boubacar)"
"06";"Trarza";"Ouad Naga";"Ouad Naga";"Ecole Fondamentale";"06";"03";508;133;1;6;126;23;"Biram Dah Dah ABEID (Biram)"
"06";"Trarza";"Ouad Naga";"Ouad Naga";"Ecole Fondamentale";"06";"03";508;133;1;6;126;2;"Mohamed Sidi MAOULOUD (Maouloud)"
"06";"Trarza";"Ouad Naga";"Ouad Naga";"Ecole Fondamentale";"06";"03";508;133;1;6;126;0;"Mohamed Lemine El Mourteji El WAVI (Wavi)"
"06";"Trarza";"Ouad Naga";"Ouad Naga";"Ecole Fondamentale";"06";"03";508;133;1;6;126;8;"KANE Hamidou Baba (Kane)"
"05";"Brakna";"Boghé";"Boghé";"Ecole 2 Boghé";"06";"02";374;272;5;4;263;91;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
"05";"Brakna";"Boghé";"Boghé";"Ecole 2 Boghé";"06";"02";374;272;5;4;263;8;"Sidi Mohamed Boubacar BOUSSALEF (Boubacar)"
"05";"Brakna";"Boghé";"Boghé";"Ecole 2 Boghé";"06";"02";374;272;5;4;263;87;"Biram Dah Dah ABEID (Biram)"
"05";"Brakna";"Boghé";"Boghé";"Ecole 2 Boghé";"06";"02";374;272;5;4;263;8;"Mohamed Sidi MAOULOUD (Maouloud)"
"05";"Brakna";"Boghé";"Boghé";"Ecole 2 Boghé";"06";"02";374;272;5;4;263;0;"Mohamed Lemine El Mourteji El WAVI (Wavi)"
"05";"Brakna";"Boghé";"Boghé";"Ecole 2 Boghé";"06";"02";374;272;5;4;263;69;"KANE Hamidou Baba (Kane)"
"05";"Brakna";"Aleg";"Aghchourguit";"Avernane";"12";"01";161;103;1;0;102;85;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
"05";"Brakna";"Aleg";"Aghchourguit";"Avernane";"12";"01";161;103;1;0;102;9;"Sidi Mohamed Boubacar BOUSSALEF (Boubacar)"
"05";"Brakna";"Aleg";"Aghchourguit";"Avernane";"12";"01";161;103;1;0;102;7;"Biram Dah Dah ABEID (Biram)"
"05";"Brakna";"Aleg";"Aghchourguit";"Avernane";"12";"01";161;103;1;0;102;1;"Mohamed Sidi MAOULOUD (Maouloud)"
"05";"Brakna";"Aleg";"Aghchourguit";"Avernane";"12";"01";161;103;1;0;102;0;"Mohamed Lemine El Mourteji El WAVI (Wavi)"
"05";"Brakna";"Aleg";"Aghchourguit";"Avernane";"12";"01";161;103;1;0;102;0;"KANE Hamidou Baba (Kane)"
"01";"Hodh Chargui";"Bassiknou";"Bassiknou";"Hsey Lebyadh";"07";"01";308;148;11;4;133;83;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
"01";"Hodh Chargui";"Bassiknou";"Bassiknou";"Hsey Lebyadh";"07";"01";308;148;11;4;133;36;"Sidi Mohamed Boubacar BOUSSALEF (Boubacar)"
"01";"Hodh Chargui";"Bassiknou";"Bassiknou";"Hsey Lebyadh";"07";"01";308;148;11;4;133;9;"Biram Dah Dah ABEID (Biram)"
"01";"Hodh Chargui";"Bassiknou";"Bassiknou";"Hsey Lebyadh";"07";"01";308;148;11;4;133;2;"Mohamed Sidi MAOULOUD (Maouloud)"
"01";"Hodh Chargui";"Bassiknou";"Bassiknou";"Hsey Lebyadh";"07";"01";308;148;11;4;133;1;"Mohamed Lemine El Mourteji El WAVI (Wavi)"
"01";"Hodh Chargui";"Bassiknou";"Bassiknou";"Hsey Lebyadh";"07";"01";308;148;11;4;133;2;"KANE Hamidou Baba (Kane)"
"01";"Hodh Chargui";"Bassiknou";"Dhar";"Lohiat";"11";"01";220;123;0;0;123;120;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
"01";"Hodh Chargui";"Bassiknou";"Dhar";"Lohiat";"11";"01";220;123;0;0;123;2;"Sidi Mohamed Boubacar BOUSSALEF (Boubacar)"
"01";"Hodh Chargui";"Bassiknou";"Dhar";"Lohiat";"11";"01";220;123;0;0;123;1;"Biram Dah Dah ABEID (Biram)"
"01";"Hodh Chargui";"Bassiknou";"Dhar";"Lohiat";"11";"01";220;123;0;0;123;0;"Mohamed Sidi MAOULOUD (Maouloud)"
"01";"Hodh Chargui";"Bassiknou";"Dhar";"Lohiat";"11";"01";220;123;0;0;123;0;"Mohamed Lemine El Mourteji El WAVI (Wavi)"
"01";"Hodh Chargui";"Bassiknou";"Dhar";"Lohiat";"11";"01";220;123;0;0;123;0;"KANE Hamidou Baba (Kane)"
"01";"Hodh Chargui";"Bassiknou";"Bassiknou";"Hotel de Ville";"06";"02";410;183;10;3;170;131;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
"01";"Hodh Chargui";"Bassiknou";"Bassiknou";"Hotel de Ville";"06";"02";410;183;10;3;170;20;"Sidi Mohamed Boubacar BOUSSALEF (Boubacar)"
"01";"Hodh Chargui";"Bassiknou";"Bassiknou";"Hotel de Ville";"06";"02";410;183;10;3;170;10;"Biram Dah Dah ABEID (Biram)"
"01";"Hodh Chargui";"Bassiknou";"Bassiknou";"Hotel de Ville";"06";"02";410;183;10;3;170;4;"Mohamed Sidi MAOULOUD (Maouloud)"
"01";"Hodh Chargui";"Bassiknou";"Bassiknou";"Hotel de Ville";"06";"02";410;183;10;3;170;0;"Mohamed Lemine El Mourteji El WAVI (Wavi)"
"01";"Hodh Chargui";"Bassiknou";"Bassiknou";"Hotel de Ville";"06";"02";410;183;10;3;170;5;"KANE Hamidou Baba (Kane)"
"08";"Dakhlet Nouadhibou";"Chami";"Chami";"Dispensaire Chami";"01";"06";559;120;3;1;116;52;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
"08";"Dakhlet Nouadhibou";"Chami";"Chami";"Dispensaire Chami";"01";"06";559;120;3;1;116;43;"Sidi Mohamed Boubacar BOUSSALEF (Boubacar)"
"08";"Dakhlet Nouadhibou";"Chami";"Chami";"Dispensaire Chami";"01";"06";559;120;3;1;116;17;"Biram Dah Dah ABEID (Biram)"
"08";"Dakhlet Nouadhibou";"Chami";"Chami";"Dispensaire Chami";"01";"06";559;120;3;1;116;3;"Mohamed Sidi MAOULOUD (Maouloud)"
"08";"Dakhlet Nouadhibou";"Chami";"Chami";"Dispensaire Chami";"01";"06";559;120;3;1;116;0;"Mohamed Lemine El Mourteji El WAVI (Wavi)"
"08";"Dakhlet Nouadhibou";"Chami";"Chami";"Dispensaire Chami";"01";"06";559;120;3;1;116;1;"KANE Hamidou Baba (Kane)"
"01";"Hodh Chargui";"Timbedra";"Timbedra";"El Haye Al Idari";"07";"01";318;150;11;0;139;87;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
"01";"Hodh Chargui";"Timbedra";"Timbedra";"El Haye Al Idari";"07";"01";318;150;11;0;139;36;"Sidi Mohamed Boubacar BOUSSALEF (Boubacar)"
"01";"Hodh Chargui";"Timbedra";"Timbedra";"El Haye Al Idari";"07";"01";318;150;11;0;139;3;"Biram Dah Dah ABEID (Biram)"
"01";"Hodh Chargui";"Timbedra";"Timbedra";"El Haye Al Idari";"07";"01";318;150;11;0;139;8;"Mohamed Sidi MAOULOUD (Maouloud)"
"01";"Hodh Chargui";"Timbedra";"Timbedra";"El Haye Al Idari";"07";"01";318;150;11;0;139;4;"Mohamed Lemine El Mourteji El WAVI (Wavi)"
"01";"Hodh Chargui";"Timbedra";"Timbedra";"El Haye Al Idari";"07";"01";318;150;11;0;139;1;"KANE Hamidou Baba (Kane)"
"01";"Hodh Chargui";"Amourj";"Amourj";"Oum Nour";"04";"01";370;254;0;4;250;232;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
"01";"Hodh Chargui";"Amourj";"Amourj";"Oum Nour";"04";"01";370;254;0;4;250;12;"Sidi Mohamed Boubacar BOUSSALEF (Boubacar)"
"01";"Hodh Chargui";"Amourj";"Amourj";"Oum Nour";"04";"01";370;254;0;4;250;3;"Biram Dah Dah ABEID (Biram)"
"01";"Hodh Chargui";"Amourj";"Amourj";"Oum Nour";"04";"01";370;254;0;4;250;1;"Mohamed Sidi MAOULOUD (Maouloud)"
"01";"Hodh Chargui";"Amourj";"Amourj";"Oum Nour";"04";"01";370;254;0;4;250;1;"Mohamed Lemine El Mourteji El WAVI (Wavi)"
"01";"Hodh Chargui";"Amourj";"Amourj";"Oum Nour";"04";"01";370;254;0;4;250;1;"KANE Hamidou Baba (Kane)"
"02";"Hodh El Gharbi";"Koubenni";"Koubenni";"Pont";"08";"01";374;176;1;1;174;80;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
"02";"Hodh El Gharbi";"Koubenni";"Koubenni";"Pont";"08";"01";374;176;1;1;174;84;"Sidi Mohamed Boubacar BOUSSALEF (Boubacar)"
"02";"Hodh El Gharbi";"Koubenni";"Koubenni";"Pont";"08";"01";374;176;1;1;174;4;"Biram Dah Dah ABEID (Biram)"
"02";"Hodh El Gharbi";"Koubenni";"Koubenni";"Pont";"08";"01";374;176;1;1;174;1;"Mohamed Sidi MAOULOUD (Maouloud)"
"02";"Hodh El Gharbi";"Koubenni";"Koubenni";"Pont";"08";"01";374;176;1;1;174;3;"Mohamed Lemine El Mourteji El WAVI (Wavi)"
"02";"Hodh El Gharbi";"Koubenni";"Koubenni";"Pont";"08";"01";374;176;1;1;174;2;"KANE Hamidou Baba (Kane)"
"01";"Hodh Chargui";"Bassiknou";"Bassiknou";"Ecole 1";"01";"03";413;234;11;0;223;180;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
